age,us_population_by_age,percent_arrests_by_age,percent_homicides_by_age,us_poverty_rate_by_age
1,1.3,0.02,0.01,3.0
2,1.3,0.02,0.01,3.0
3,1.3,0.02,0.01,3.0
4,1.3,0.02,0.01,3.0
5,1.32,0.02,0.01,5.02
6,1.32,0.02,0.01,5.02
7,1.32,0.02,0.01,5.02
8,1.32,0.02,0.01,5.02
9,1.32,0.02,0.01,5.02
10,1.34,0.02,0.2,4.68
11,1.34,1.3,0.2,4.68
12,1.34,1.3,0.2,4.68
13,1.34,1.3,1.0,4.68
14,1.34,1.3,1.0,4.68
15,1.38,1.3,1.8,3.98
16,1.38,4.4,2.3,3.98
17,1.38,4.4,2.8,3.98
18,1.38,4.4,3.7,3.98
19,1.38,4.4,4.1,3.98
20,1.42,4.4,4.2,4.26
21,1.42,3.8,4.2,4.26
22,1.42,3.8,4.1,4.26
23,1.42,3.8,3.9,4.26
24,1.42,3.8,3.7,4.26
25,1.36,3.8,3.2,3.36
26,1.36,2.9,3.2,3.36
27,1.36,2.9,3.2,3.36
28,1.36,2.9,3.2,3.36
29,1.36,2.9,3.2,3.36
30,1.32,2.9,2.5,2.98
31,1.32,2.2,2.5,2.98
32,1.32,2.2,2.5,2.98
33,1.32,2.2,2.5,2.98
34,1.32,2.2,2.5,2.98
35,1.24,2.2,1.8,2.7
36,1.24,1.5,1.8,2.7
37,1.24,1.5,1.8,2.7
38,1.24,1.5,1.8,2.7
39,1.24,1.5,1.8,2.7
40,1.34,1.5,1.5,2.2
41,1.34,1.3,1.5,2.2
42,1.34,1.3,1.5,2.2
43,1.34,1.3,1.5,2.2
44,1.34,1.3,1.5,2.2
45,1.4,1.3,1.3,2.24
46,1.4,1.1,1.3,2.24
47,1.4,1.1,1.3,2.24
48,1.4,1.1,1.3,2.24
49,1.4,1.1,1.3,2.24
50,1.44,1.1,1.1,2.12
51,1.44,0.8,1.1,2.12
52,1.44,0.8,1.1,2.12
53,1.44,0.8,1.1,2.12
54,1.44,0.8,1.1,2.12
55,1.32,0.8,0.6,2.14
56,1.32,0.4,0.6,2.14
57,1.32,0.4,0.6,2.14
58,1.32,0.4,0.6,2.14
59,1.32,0.4,0.6,2.14
60,1.14,0.4,0.3,2.16
61,1.14,0.2,0.3,2.16
62,1.14,0.2,0.3,2.16
63,1.14,0.2,0.3,2.16
64,1.14,0.2,0.3,2.16
65,0.88,0.2,0.01,1.5
66,0.88,0.01,0.01,1.5
67,0.88,0.01,0.01,1.5
68,0.88,0.01,0.01,1.5
69,0.88,0.01,0.01,1.5
70,0.64,0.01,0.01,1.46
71,0.64,0.01,0.01,1.46
72,0.64,0.01,0.01,1.46
73,0.64,0.01,0.01,1.46
74,0.64,0.01,0.01,1.46
75,0.48,0.01,0.01,2.0
76,0.48,0.01,0.01,2.0
77,0.48,0.01,0.01,2.0
78,0.48,0.01,0.01,2.0
79,0.48,0.01,0.01,2.0
80,0.38,0.01,0.01,2.0
81,0.38,0.01,0.01,2.0
82,0.38,0.01,0.01,2.0
83,0.38,0.01,0.01,2.0
84,0.38,0.01,0.01,2.0
85,0.3,0.01,0.01,2.3
86,0.3,0.01,0.01,2.3
87,0.3,0.01,0.01,2.3
88,0.3,0.01,0.01,2.3
89,0.3,0.01,0.01,2.3
90,0.3,0.01,0.01,2.3
91,0.3,0.01,0.01,2.3
92,0.3,0.01,0.01,2.3
93,0.3,0.01,0.01,2.3
94,0.3,0.01,0.01,2.3
95,0.3,0.01,0.01,2.3
96,0.3,0.01,0.01,2.3
97,0.3,0.01,0.01,2.3
98,0.3,0.01,0.01,2.3
99,0.3,0.01,0.01,2.3
100,0.3,0.01,0.01,2.3
101,0.3,0.01,0.01,2.3
102,0.3,0.01,0.01,2.3
103,0.3,0.01,0.01,2.3
104,0.3,0.01,0.01,2.3
105,0.3,0.01,0.01,2.3
106,0.3,0.01,0.01,2.3
107,0.3,0.01,0.01,2.3
