UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2014,999,317297725,156252412,161045313,121973738,124085325,20014029,21825028,1989022,1947880,8029242,8837850,371020,359012,3875361,3990218,125406974,127598683,21690530,23598200,3231150,3256542,9448959,10269971,726108,721213,128503111,134160060,97486384,100434638,18748596,20507929,1153256,1186560,7756767,8565325,270736,265925,3087372,3199683,100218874,103247839,20076231,21921164,2050412,2153133,8957305,9777014,549903,552368,27749301,26885253,24487354,23650687,1265433,1317099,835766,761320,272475,272525,100284,93087,787989,790535,25188100,24350844,1614299,1677036,1180738,1103409,491654,492957,176205,168845
R,1,2014,0,3942118,2016907,1925211,1445640,1379301,308005,294051,33384,31881,98839,94923,6243,5953,124796,119102,1560693,1489089,376317,359253,58053,55426,144129,138149,15122,14429,1495887,1428134,1004612,958548,277772,265200,17173,16425,92528,88904,4066,3882,99736,95175,1097088,1046780,333387,318277,33242,31757,130005,124670,10489,10012,521020,497077,441028,420753,30233,28851,16211,15456,6311,6019,2177,2071,25060,23927,463605,442309,42930,40976,24811,23669,14124,13479,4633,4417
R,1,2014,1,3955905,2023156,1932749,1455684,1385930,306194,296806,33223,32072,101318,97143,6277,5971,120460,114827,1566554,1491520,371102,358854,57610,55370,145564,139230,14959,14213,1504286,1434063,1015847,963373,276153,267909,17150,16376,95025,91131,4097,3861,96014,91413,1104699,1047881,328732,318132,33077,31532,131673,125986,10416,9837,518870,498686,439837,422557,30041,28897,16073,15696,6293,6012,2180,2110,24446,23414,461855,443639,42370,40722,24533,23838,13891,13244,4543,4376
R,1,2014,2,3968965,2029284,1939681,1458337,1388542,306867,297525,33266,32130,103863,100470,6317,6024,120634,114990,1569349,1494263,371836,359617,57673,55441,148224,142678,15011,14282,1508488,1439181,1016817,964380,276718,268541,17141,16366,97560,94444,4129,3909,96123,91541,1105749,1048985,329310,318786,33069,31527,134320,129417,10459,9900,520796,500500,441520,424162,30149,28984,16125,15764,6303,6026,2188,2115,24511,23449,463600,445278,42526,40831,24604,23914,13904,13261,4552,4382
R,1,2014,3,4035833,2061992,1973841,1487627,1419019,310376,300956,32439,31564,103707,100219,6252,5849,121591,116234,1599616,1525966,375579,363768,57357,55615,148249,142338,14999,14071,1526963,1458710,1029617,978144,281891,272962,17194,16881,97551,94530,4149,3908,96561,92285,1118983,1063437,334513,323623,33348,32532,134440,129461,10522,9909,535029,515131,458010,440875,28485,27994,15245,14683,6156,5689,2103,1941,25030,23949,480633,462529,41066,40145,24009,23083,13809,12877,4477,4162
R,1,2014,4,3970884,2026130,1944754,1462831,1397266,304682,296560,32854,31845,101894,98683,6061,5898,117808,114502,1571271,1502499,368088,358890,56802,55176,145047,140061,14382,14023,1507805,1445261,1020509,971335,276192,268930,17406,16953,95874,92891,4045,3897,93779,91255,1107308,1055604,327637,319463,32986,32231,131567,127242,10132,9832,518325,499493,442322,425931,28490,27630,15448,14892,6020,5792,2016,2001,24029,23247,463963,446895,40451,39427,23816,22945,13480,12819,4250,4191
R,1,2014,5,4080640,2083386,1997254,1507258,1437673,316260,307732,33352,32113,103439,100155,6164,6035,116913,113546,1614649,1542011,379265,369722,57235,55130,145770,140751,14602,14053,1553011,1488418,1053078,1002211,287128,279931,17693,17217,97427,94411,4120,4000,93565,90648,1139337,1085959,338615,330564,33344,32089,132721,128160,10310,9827,530375,508836,454180,435462,29132,27801,15659,14896,6012,5744,2044,2035,23348,22898,475312,456052,40650,39158,23891,23041,13049,12591,4292,4226
R,1,2014,6,4132464,2110549,2021915,1532254,1461176,317159,308667,34110,33315,106235,101979,6209,6008,114582,110770,1637379,1562728,378587,368855,57942,56284,147881,141717,14545,13916,1572900,1506045,1070635,1018566,288438,281049,17853,17768,100271,96421,4152,3950,91551,88291,1155052,1099818,338561,330050,33429,32700,134886,129411,10314,9740,537649,515870,461619,442610,28721,27618,16257,15547,5964,5558,2057,2058,23031,22479,482327,462910,40026,38805,24513,23584,12995,12306,4231,4176
R,1,2014,7,4131828,2111854,2019974,1539753,1467563,316063,305863,34461,32799,104407,100561,6039,5878,111131,107310,1641686,1565943,374977,363516,57824,55341,145178,139096,14197,13637,1578850,1508389,1080952,1027506,288241,278764,18087,17468,98497,95013,4073,3875,89000,85763,1162957,1106453,336469,326073,33396,32182,132469,127068,10050,9555,533004,511585,458801,440057,27822,27099,16374,15331,5910,5548,1966,2003,22131,21547,478729,459490,38508,37443,24428,23159,12709,12028,4147,4082
R,1,2014,8,4099464,2096178,2003286,1539178,1460953,307363,299246,33757,32875,104169,102124,6030,5958,105681,102130,1635986,1554420,362711,353277,56532,54703,143119,139529,13711,13282,1574932,1505251,1088981,1031112,280665,273474,17985,17683,98619,96911,4002,4037,84680,82034,1166876,1106442,326086,317852,32920,31978,131231,128283,9653,9482,521246,498035,450197,429841,26698,25772,15772,15192,5550,5213,2028,1921,21001,20096,469110,447978,36625,35425,23612,22725,11888,11246,4058,3800
R,1,2014,9,4101858,2094682,2007176,1542308,1468767,305602,296125,33254,32083,105817,104979,5983,5707,101718,99515,1635374,1559702,358254,348106,55580,53928,143598,141366,13436,12961,1585626,1518638,1101178,1046215,279850,271297,18081,17180,100285,99769,4149,3967,82083,80210,1176643,1119761,323182,314152,33019,31765,132030,130417,9682,9368,509056,488538,441130,422552,25752,24828,15173,14903,5532,5210,1834,1740,19635,19305,458731,439941,35072,33954,22561,22163,11568,10949,3754,3593
R,1,2014,10,4091146,2088444,2002702,1545801,1472010,302471,293744,32162,31675,104313,104265,5775,5460,97922,95548,1635322,1559401,352544,343011,54268,53219,140626,139429,13076,12499,1591617,1524138,1114536,1057221,277590,269810,17585,17126,99039,99178,3994,3792,78873,77011,1186925,1127960,318872,310456,32359,31655,129558,128621,9448,9041,496827,478564,431265,414789,24881,23934,14577,14549,5274,5087,1781,1668,19049,18537,448397,431441,33672,32555,21909,21564,11068,10808,3628,3458
R,1,2014,11,4077417,2080839,1996578,1540523,1467968,305326,297561,32585,31513,102952,102603,5786,5493,93667,91440,1625912,1551304,353024,344548,54347,52839,137433,135909,12944,12286,1589119,1523098,1113017,1056417,280829,274135,17815,17259,97740,97785,4052,3798,75666,73704,1182245,1123911,320303,312900,32455,31616,126719,125737,9439,8891,491720,473480,427506,411551,24497,23426,14770,14254,5212,4818,1734,1695,18001,17736,443667,427393,32721,31648,21892,21223,10714,10172,3505,3395
